Province,Gender,Age,Income,BMI,PhysicalActivity,Smoking,SelfRatedHealth,StressLevel,BMI_Category,IncomeBracket,SelfRatedHealth_num
Ontario,Female,59,80572.0,25.7,3.8,Yes,Good,6,Overweight,80-110k,3
New Brunswick,Male,38,125739.0,24.2,3.4,No,Good,9,Normal,>110k,3
Nova Scotia,Male,31,55997.0,35.7,3.5,No,Excellent,5,Obese,50-80k,5
Saskatchewan,Male,30,75947.0,28.3,3.9,No,Excellent,10,Overweight,50-80k,5
Saskatchewan,Female,79,113966.0,31.2,1.6,No,Fair,6,Obese,>110k,2
Newfoundland and Labrador,Female,24,101828.0,27.8,4.5,Yes,Good,5,Overweight,80-110k,3
Ontario,Female,68,64076.0,24.3,0.9,Yes,Very Good,3,Normal,50-80k,4
Nova Scotia,Female,72,82479.0,27.3,3.6,No,Very Good,8,Overweight,80-110k,4
British Columbia,Female,19,78040.0,34.4,2.9,Yes,Good,4,Obese,50-80k,3
Ontario,Male,55,83639.0,30.0,4.1,No,Very Good,4,Obese,80-110k,4
Manitoba,Male,54,64026.0,18.6,3.7,No,Fair,8,Normal,50-80k,2
Prince Edward Island,Male,40,76214.0,27.3,3.0,No,Good,8,Overweight,50-80k,3
New Brunswick,Female,60,46039.0,36.1,0.4,Yes,Very Good,8,Obese,<50k,4
New Brunswick,Female,43,80702.0,26.1,0.5,No,Very Good,4,Overweight,80-110k,4
New Brunswick,Male,45,87000.0,18.2,2.3,No,Very Good,5,Underweight,80-110k,4
New Brunswick,Male,45,73452.0,36.7,3.5,Yes,Poor,5,Obese,50-80k,1
Manitoba,Male,68,45699.0,30.6,2.3,No,Fair,7,Obese,<50k,2
Quebec,Female,57,97771.0,26.8,4.8,No,Poor,8,Overweight,80-110k,1
Newfoundland and Labrador,Male,41,85291.0,25.3,2.9,Yes,Fair,6,Overweight,80-110k,2
Saskatchewan,Female,76,63480.0,32.6,1.6,No,Poor,9,Obese,50-80k,1
Manitoba,Female,68,72388.0,24.5,2.9,No,Good,7,Normal,50-80k,3
Alberta,Female,76,47987.0,32.9,4.0,Yes,Good,5,Obese,<50k,3
Quebec,Male,64,57492.0,29.9,4.1,Yes,Very Good,5,Overweight,50-80k,4
Prince Edward Island,Male,42,67244.0,28.4,7.3,Yes,Good,9,Overweight,50-80k,3
New Brunswick,Male,66,102568.0,27.9,2.2,Yes,Poor,9,Overweight,80-110k,1
Nova Scotia,Male,38,65210.0,26.3,3.4,No,Very Good,8,Overweight,50-80k,4
Saskatchewan,Male,35,90804.0,32.4,4.4,No,Poor,5,Obese,80-110k,1
Newfoundland and Labrador,Female,46,67234.0,22.9,3.5,Yes,Excellent,5,Normal,50-80k,5
Manitoba,Male,79,82959.0,19.1,2.5,Yes,Poor,6,Normal,80-110k,1
Saskatchewan,Male,53,75172.0,30.3,0.4,Yes,Good,9,Obese,50-80k,3
Saskatchewan,Male,42,95461.0,30.4,2.5,No,Excellent,6,Obese,80-110k,5
British Columbia,Female,47,67304.0,29.6,1.4,Yes,Very Good,6,Overweight,50-80k,4
Ontario,Female,36,46549.0,29.2,0.0,Yes,Very Good,5,Overweight,<50k,4
Manitoba,Female,59,50361.0,25.6,1.9,Yes,Very Good,5,Overweight,50-80k,4
